Edible,Color,Shape,Surface
I,Pale,Polypore,Smooth
E,White,Convex-Bellshaped,Smooth-Fibrous
E,White-Yellow,Convex,Smooth
E,Brown,Bellshaped-Convex,FlatScales-Fibrous
E,,Convex-Flat,Fibrous
E,White,Convex,FlatScales-Patches
E,White,Convex-Flat,Smooth
E,White,Convex,Smooth-Fibrous
E,White,Convex,Smooth
I,White-Tan,Conical-Convex,Patches-Fibrous
E,White-Brown,Convex,Smooth-Silky
E,Pink-Brown,Convex-Flat,Fibrous
E,Pale,Convex-Flat,FlatScales
P,White-Brown,Convex,Fibrous-FlatScales
E,Purple-Brown,Convex,FlatScales
P,White,Convex-Flat,Smooth
E,White,Convex-Flat,Fibrous-Patches
E,Brown,Convex,Smooth
P,White,Convex-Flat,FlatScales
E,White,Convex-Flat,Smooth
E,White,Convex-Flat,Smooth
P,White-Brown,Convex-Flat,FlatScales
I,White-Brown,Convex-Flat,Smooth
P,Brown,Convex,Fibrous-FlatScales
E,Brown,Convex-Flat,Smooth-FlatScales
E,Brown-Purple,Convex-Flat,Fibrous
E,Brown,Convex,FlatScales
E,White,Convex-Flat,Smooth
I,Orange,Convex-Flat,RaisedScales
P,White-Pale,Convex-Flat,Smooth
E,Yellow,Convex-Flat,Smooth-Patches
P,Yellow,Convex-Flat,Smooth
E,Brown,Convex-Flat,Smooth
I,Brown-Tan,Convex-Flat,Velvety
E,Pale-Brown,Convex-Flat,Smooth
E,Pale-Tan,Convex,Smooth-FlatScales
E,Pale,Convex-Flat,
P,White,Convex-Depressed,Smooth
E,Yellow,Depressed,FlatScales
E,Orange,CupFungi,Smooth
E,Purple,CoralFungi,Smooth
I,White-Gray,Convex-Flat,Smooth
P,Brown-Gray,Convex-Knobbed,Smooth
I,Pale-Gray,Bellshaped-Flat,Smooth
E,Orange,Convex,Smooth
E,Brown,Bellshaped-Flat,Smooth-Patches
I,White,Convex-Flat,Patches
E,Black-Brown,Convex-Flat,Smooth-Patches
P,Orange,Convex-Flat,Smooth
I,White,Convex-Flat,Patches
P,White,Convex,RaisedScales
I,Pale-White,Convex,Smooth-Patches
P,Brown-Gray,Convex-Flat,Patches
I,Yellow,Convex-Flat,Patches
P,,Convex-Flat,Smooth-Fibrous
E,Brown,Conical-Convex,Smooth
P,Yellow,Convex-Flat,Smooth
E,Red-Orange,Convex-Depressed,Smooth
E,Red-Orange,Convex-Knobbed,Smooth
I,Gray-Brown,Convex-Flat,Smooth-Patches
I,White,Convex-Flat,RaisedScales
I,Brown-Gray,Convex-Flat,Smooth-Silky
I,White-Pale,Convex-Flat,Smooth-Patches
P,Red,Convex-Flat,Patches
P,White,Convex,Smooth
E,White-Pink,Convex-Flat,Smooth-Patches
P,White,Convex-Flat,Smooth
E,White,Convex-Flat,Smooth-Fibrous
E,Brown,Convex,Smooth
E,Red-Orange,Convex-Flat,Patches
P,Yellow,Convex,Smooth
P,Gray-Brown,Convex-Flat,Smooth
P,White,Convex-Flat,Smooth
P,Gray-Brown,Convex-Flat,Smooth
P,Brown,Convex-Flat,Patches
I,Red-Orange,Convex-Flat,Smooth-Patches
P,White-Pale,Convex,Patches
P,Brown-Gray,Convex-Flat,Smooth
E,Orange-Yellow,Conical-Convex,Smooth
I,Gray-Brown,Convex-Flat,Smooth
E,Gray,Convex-Flat,Smooth
P,White,Bellshaped-Convex,Smooth
P,White,Convex-Flat,RaisedScales
P,White,Convex-Flat,Patches-Fibrous
P,Brown,Depressed,Smooth
E,Gray-Brown,Flat-Depressed,Smooth
P,Orange-Brown,Convex,RaisedScales
E,Yellow-Brown,Convex-Flat,RaisedScales
I,Brown,Convex-Flat,Smooth
E,Yellow-Brown,Convex-Flat,Hairy-Fibrous
E,Brown-Yellow,Convex,Smooth
E,Brown-Yellow,Convex-Flat,Smooth-FlatScales
I,Blue,Depressed-Flat,Velvety
P,Gray-Black,Depressed,Smooth-Fibrous
E,White,CoralFungi,Smooth
I,Purple,CupFungi,Smooth
P,Purple,JellyFungi-CupFungi,Smooth
P,Red,Stinkhorns,
I,Brown,Convex,Powder
P,White,Convex,Silky
I,Brown-White,Earthstars,
I,White,,
E,Brown,Convex-Bolete,Smooth-Silky
E,Brown,JellyFungi,Silky
E,Pale,,Smooth-Hairy
E,Brown-Black,CupFungi,Hairy
P,Black-Brown,Convex-ToothFungi,Hairy
E,Brown,Convex-Flat,Patches-Smooth
E,Brown,Convex,RaisedScales
P,White,Convex-Bellshaped,Smooth
E,White,Bellshaped-Convex,Smooth
P,Brown,Convex-Flat,Patches
E,White-Brown,Convex-Flat,Smooth
E,Brown,Convex,Silky
I,Brown,Convex,Powder
I,Yellow,CupFungi,Smooth
I,Yellow,CupFungi,
I,Gray,Polypore-Shellshaped,Hairy-Velvety
E,Brown-Orange,Convex-Depressed,Smooth
E,Brown,Conical-Knobbed,Smooth
P,Yellow,Bellshaped,Smooth
E,Brown,Bolete-Convex,Smooth-Velvety
E,Brown-Yellow,Convex-Funnelshaped,Smooth-Silky
E,Gray-Black,Convex-Depressed,Smooth
E,Black,Convex-Bolete,Smooth-Silky
E,Brown,Convex-Bolete,Smooth-Velvety
E,Pale,Convex-Bolete,Smooth-Silky
E,Gray,Convex-Bolete,Smooth-Silky
E,Red,Convex-Bolete,Velvety-Silky
E,Red,Convex-Bolete,Silky
E,Brown,Convex-Bolete,Smooth-Silky
P,Brown,Convex-Bolete,Silky-Smooth
E,Brown,Convex-Bolete,Smooth
E,Brown,Convex-Bolete,Smooth-FlatScales
E,Brown,Convex-Bolete,Smooth
E,Brown,Convex-Bolete,Smooth-Silky
I,Brown-Red,Convex,Velvety-Smooth
P,Red-Brown,Convex-Bolete,Smooth-Silky
E,White-Brown,Shellshaped-Polypore,Velvety
I,White,Convex-Depressed,Smooth
E,White,Puffballs,Smooth
E,White,Puffballs,Smooth-Patches
E,White-Gray,Puffballs,Smooth
E,White-Pale,Puffballs,Smooth-FlatScales
P,Brown,Convex-Bolete,Velvety-Silky
I,Black,CupFungi,Smooth
E,Brown,Convex-Bolete,Smooth-FlatScales
E,Gray-Pale,Convex-Bolete,Smooth-Silky
E,Pink-Red,Convex-Bolete,Smooth-Silky
P,White-Pale,Corticioid,Velvety
P,Orange,CupFungi,Smooth
I,Orange-Yellow,CupFungi,Smooth
E,Blue,Convex-Depressed,Smooth
I,Brown,Convex-Depressed,Smooth
I,White,Polypore-Shellshaped,Velvety
P,Gray,Convex-Bolete,Smooth-FlatScales
I,White,Convex-Bolete,Smooth-Silky
P,Yellow,CoralFungi,Smooth
P,Yellow,JellyFungi,Smooth
E,Orange-Yellow,JellyFungi-CoralFungi,Smooth
E,White,Convex,Smooth
I,Yellow-Orange,CupFungi,
I,Red,Puffballs-Stinkhorns,Smooth
E,White-Tan,Puffballs,Patches-FlatScales
E,White,Puffballs,Patches
